,PLAYER,TEAM,AGE,HEIGHT,WEIGHT,COLLEGE,COUNTRY,DRAFT YEAR,DRAFT ROUND,DRAFT NUMBER,GP,PTS,REB,AST,NETRTG,OREB%,DREB%,USG%,TS%,AST%
1,AJ Hammons,DAL,24,84.00,260,Purdue,USA,2016,2,46,22,2.2,1.6,0.2,-0.6,0.049,0.199,0.167,0.472,0.038
2,Aaron Brooks,IND,32,72.00,161,Oregon,USA,2007,1,26,65,5,1.1,1.9,-3,0.022,0.064,0.191,0.507,0.216
3,Aaron Gordon,ORL,21,81.00,220,Arizona,USA,2014,1,4,80,12.7,5.1,1.9,-2.8,0.054,0.141,0.2,0.53,0.097
4,Aaron Harrison,CHA,22,78.00,210,Kentucky,USA,Undrafted,Undrafted,Undrafted,5,0.2,0.6,0.6,-18.6,0,0.2,0.142,0.102,0.375
5,Adreian Payne,MIN,26,82.00,237,Michigan State,USA,2014,1,15,18,3.5,1.8,0.4,0.8,0.069,0.2,0.224,0.505,0.089
6,Al Horford,BOS,31,82.00,245,Florida,Dominican Rep...,2007,1,3,68,14,6.8,5,5,0.049,0.183,0.199,0.553,0.239
7,Al Jefferson,IND,32,82.00,289,None,USA,2004,1,15,66,8.1,4.2,0.9,-5.8,0.086,0.251,0.26,0.526,0.114
8,Al-Farouq Aminu,POR,26,81.00,220,Wake Forest,USA,2010,1,8,61,8.7,7.4,1.6,1.8,0.049,0.232,0.158,0.506,0.082
9,Alan Anderson,LAC,34,78.00,220,Michigan State,USA,Undrafted,Undrafted,Undrafted,30,2.9,0.8,0.4,-10.8,0.011,0.077,0.142,0.494,0.052
10,Alan Williams,PHX,24,80.00,260,California-Santa Barbara,USA,Undrafted,Undrafted,Undrafted,47,7.4,6.2,0.5,-0.3,0.138,0.293,0.206,0.547,0.049
11,Alec Burks,UTA,25,78.00,214,Colorado,USA,2011,1,12,42,6.7,2.9,0.7,0.1,0.029,0.18,0.219,0.501,0.074
12,Alex Abrines,OKC,23,78.00,190,None,Spain,2013,2,32,68,6,1.3,0.6,-2.3,0.019,0.074,0.157,0.56,0.055
13,Alex Len,PHX,24,85.00,260,Maryland,Ukraine,2013,1,5,77,8,6.6,0.6,-11.1,0.104,0.251,0.176,0.553,0.043
14,Alex Poythress,PHI,23,79.00,238,Kentucky,USA,Undrafted,Undrafted,Undrafted,6,10.7,4.8,0.8,-9.6,0.073,0.137,0.166,0.548,0.052
15,Alexis Ajinca,NOP,29,86.00,248,None,France,2008,1,20,39,5.3,4.5,0.3,-4.7,0.084,0.225,0.171,0.529,0.031
16,Allen Crabbe,POR,25,78.00,215,California,USA,2013,2,31,79,10.7,2.9,1.2,-2.8,0.009,0.105,0.149,0.602,0.063
17,Alonzo Gee,DEN,30,78.00,225,Alabama,USA,Undrafted,Undrafted,Undrafted,13,0.8,1.2,0.5,1.4,0.046,0.136,0.108,0.306,0.092
18,Amir Johnson,BOS,30,81.00,240,None,USA,2005,2,56,80,6.5,4.6,1.8,8,0.084,0.169,0.138,0.628,0.125
19,Anderson Varejao,GSW,34,83.00,273,None,Brazil,2004,2,30,14,1.3,1.9,0.7,-8.4,0.133,0.188,0.124,0.478,0.152
20,Andre Drummond,DET,23,83.00,279,Connecticut,USA,2012,1,9,81,13.6,13.8,1.1,-6.3,0.146,0.373,0.224,0.518,0.06
21,Andre Iguodala,GSW,33,78.00,215,Arizona,USA,2004,1,9,76,7.6,4,3.4,13.4,0.03,0.131,0.113,0.624,0.169
22,Andre Roberson,OKC,25,79.00,210,Colorado,USA,2013,1,26,79,6.6,5.1,1,2.8,0.046,0.138,0.1,0.51,0.045
23,Andrew Bogut,CLE,32,84.00,260,Utah,Australia,2005,1,1,27,2.9,8.1,1.8,-1.7,0.103,0.32,0.106,0.46,0.133
24,Andrew Harrison,MEM,22,78.00,213,Kentucky,USA,2015,2,44,72,5.9,1.9,2.8,-0.3,0.017,0.09,0.164,0.477,0.209
